nama_tempat,username,rating,review
Kopi Studio 24 Panglima Sudirman,Puhdidi Yt,5,"perlu ditingkatkan sop meraciknya terutama dcream rasanya selalu berubah-rubah
Saya sudah langganan kopistudio sejak lama,sayangnya untuk menu d cream sering kali rasanya aneh.terkadang cuman terasa manis,kadang terasa pahit tidak ada rasa creamynya malah terasa sepeti coldbrew.sebenarnya enggan memberi penilaian.Dari semua cabang yang pernah saya order hanya dicabang sulfat yang selalu konsisten.kota lama,sukun,sering mengecewakan rasanya.akhir2 ini panglima sudirman juga rasanya aneh.dalam 1 minggu ini saya sudah beli 4x online maupun offline tapi rasanya gak karuan.creamy dan manisnya sering kali hilang dari rasa.dibandingkan dengan kopi lain sekelas starbuck saya lebih suka menu d cream.maka dari itu tolong konsisten😭"
Kopi Studio 24 Panglima Sudirman,Anita Kharisma,5,mba nya informatif baik makanan minuman murah meriah mantap🥲👍🏻
Kopi Studio 24 Panglima Sudirman,fahira nova,5,"pelayanan ramah, menawarkan pilihan lain lainnya"
Kopi Studio 24 Panglima Sudirman,Kahfita Maulidyah,5,"Pelayanan bagus , tempatya bersih"
Kopi Studio 24 Panglima Sudirman,Sugini,5,"Tempatnya bagus , recomended untuk nongkrong sma temen , dan pelayanan nya ramah² 🫶🫶"
Kopi Studio 24 Panglima Sudirman,Nayswaapta Audina,5,Tempatnya nyaman
Kopi Studio 24 Panglima Sudirman,you young,5,"enakk bangettt disini cozy banget apalagi lantai 2 , makanan nya juga murce murce. paling suka cireng bumbu rujak + sama kopi susu dcream beuhh nikmat manalagi yang kita skip yakan. buat nugas buat nongkrong tetep enak"
Kopi Studio 24 Panglima Sudirman,lokadump,5,"pelayanannya ramah, gercep & sesuai dengan pesanan 🥇🤍"
Kopi Studio 24 Panglima Sudirman,Ahmad Jayadi,5,"tempatnya bersih, pelayanannya ramah, cocok untuk ngopi santai"
Kopi Studio 24 Panglima Sudirman,Hamzah,5,Tempatnya nyaman dan enak
Kopi Studio 24 Panglima Sudirman,15_Fathir Akhdan Musyafa,5,"pelayanannya sangat baik dan ramah, serta penyajiannya cepat. sangat recomennded"
Kopi Studio 24 Panglima Sudirman,sofiah firotul,5,bagus bersuh dan pelayanan nya ramah
Kopi Studio 24 Panglima Sudirman,11_Daniel Yudi Kristanto,5,Mantap pelayanan bagus
Kopi Studio 24 Panglima Sudirman,NADIA ZAHRA ASADRINA,5,"sangat nyaman dan bersih, kakaknya ramah sekali 🤩🫰"
Kopi Studio 24 Panglima Sudirman,Okta Dylan,5,Mantap pokoknyaa
Kopi Studio 24 Panglima Sudirman,Franaia Farellyan,5,pelayanan baik tempat nyaman
Kopi Studio 24 Panglima Sudirman,Ine Irine,5,Tempat bagus banget enak cocok bersih
Kopi Studio 24 Panglima Sudirman,Iben Ahmad,5,"Harga terjangkau,, kasir ramah bngt,, ada ruang AC jg,, rekomendasi buat yg mau mampir"
Kopi Studio 24 Panglima Sudirman,Titik Okti Amala,5,Tempatnya enak dan pelayanannya mantap
Kopi Studio 24 Panglima Sudirman,ratna putri,5,Recommended.. kopinya enak ☺️
Kopi Studio 24 Panglima Sudirman,Nadia Vega,5,mas nya baik pelayanan ramah+++ harga murah
Kopi Studio 24 Panglima Sudirman,ira setiawan,5,"Tempat nya enak luas dan berdih, pelayanan ok, minuman enak hrg bersahabat"
Kopi Studio 24 Panglima Sudirman,Maula Iqbal Alfaiz,5,Tempat nya sangat nyaman buat nyantai
Kopi Studio 24 Panglima Sudirman,chelsea setyawan266,5,pelayanan nya ramah harga pelajar rekomended bannget😍 …
Kopi Studio 24 Panglima Sudirman,icahyaaa9,5,"tempatnya bersih, pelayanannya baik, americano nyaa enakkk recomended bgtt🫶🏼"
Kopi Studio 24 Panglima Sudirman,BOB_ Screen Printing Supplies,5,Tempatnya enak dan nyaman 😍
Kopi Studio 24 Panglima Sudirman,Sido ora,5,"Tempat sangat recommend, cocok buat mahasiswa"
Kopi Studio 24 Panglima Sudirman,Tirta Praptojaya,5,"Pengalaman yang luar biasa di Kopi Studio 24! 🍽️☕ Makanan sangat lezat dengan cita rasa yang khas, dan pelayanannya pun ramah serta cepat. Suasana tempatnya nyaman dan cocok untuk nongkrong atau kerja santai. Sangat direkomendasikan, pasti akan kembali lagi😘"
Kopi Studio 24 Panglima Sudirman,rasyid,5,"tempatnya bersi, minumannya enak"
Kopi Studio 24 Panglima Sudirman,santa berta maharani,5,"Tempatnya nyaman buat nongki, rasa kopinya enak,, cirengnya juga mantap.."
Kopi Studio 24 Panglima Sudirman,Satya Langlang,5,"Tempatnya nyaman, pelayanan juga oke"
Kopi Studio 24 Panglima Sudirman,rexx vienn,5,tempatnya nyaman dan murah
Kopi Studio 24 Panglima Sudirman,Djihan Permata Ramadhani,5,"tempatnya nyaman bersih, makanannya enak"
Kopi Studio 24 Panglima Sudirman,luna ayu,5,tempat nyaman pelayanan ramah
